date,Open,High,Low,Close,All,MA5,MA20,MA60
2018/10/01,25.5,25.55,25.45,25.5,18313,20837.2,16610.4,17412.417
2018/09/28,25.4,25.5,25.15,25.5,30075,22098.8,16702,17288.183
2018/09/27,25.4,25.5,25.3,25.45,15707,18689.6,15880.35,16885.317
2018/09/26,25.45,25.55,25.35,25.45,20152,18495.2,15923.95,16751.5
2018/09/25,25.2,25.45,25.15,25.35,19939,18633,15793.9,16613.95
2018/09/21,25.05,25.25,25.05,25.25,24621,16499.4,15326.5,16485.917
2018/09/20,25.1,25.15,24.9,25,13029,13560.4,14658,16300.283
2018/09/19,25,25.1,24.75,25.1,14735,14502.6,15046.65,16296
2018/09/18,24.6,25.05,24.55,25,20841,14853.2,16123.5,16335.317
2018/09/17,24.45,24.6,24.35,24.5,9271,14387.6,16119.6,16109.417
2018/09/14,24.5,24.6,24.45,24.45,9926,15060.8,16431.15,16182.65
2018/09/13,24.3,24.6,24.3,24.45,17740,16000.6,16546.5,16196.633
2018/09/12,24.45,24.5,24.3,24.3,16488,15476.4,16680.45,16059.583
2018/09/11,24.6,24.75,24.3,24.55,18513,15320.4,17923.8,16025.533
2018/09/10,24.75,24.8,24.45,24.6,12637,13332.6,18390.85,16064.983
2018/09/07,24.65,24.85,24.55,24.7,14625,14044.2,18424.45,16337.867
2018/09/06,24.6,25,24.55,24.8,15119,15148.2,18204.95,16398.717
2018/09/05,24.8,24.85,24.65,24.65,15708,14852.8,17993.6,16315.283
2018/09/04,24.85,25,24.8,24.95,8574,15027,17972.75,16284.683
2018/09/03,25.05,25.1,24.65,24.85,16195,16822.4,18171.05,16313.717
2018/08/31,25.25,25.25,25,25.15,20145,15701.6,17960.1,16243.8
2018/08/30,25.45,25.45,25.2,25.25,13642,13922.8,17376.35,16237.967
2018/08/29,25.4,25.45,25.3,25.45,16579,15354.8,17553.65,16244.7
2018/08/28,25.35,25.5,25.25,25.5,17551,19293.4,17546.3,16376.833
2018/08/27,25.25,25.3,25.05,25.3,10591,19935.8,17759,16712.733
2018/08/24,25.45,25.5,25.25,25.25,11251,20918,18426.15,16919.883
2018/08/23,25.3,25.5,25.3,25.5,20802,21114.4,19118.3,17473.683
2018/08/22,25,25.45,25,25.3,36272,21037.8,20833.2,17492.5
2018/08/21,24.95,25,24.85,25,20763,22054.4,20991.05,17045.217
2018/08/20,24.75,24.95,24.7,24.95,15502,23472.6,22047.2,16858.9
2018/08/17,24.9,24.95,24.65,24.65,12233,23034,21895.3,16720.283
2018/08/16,24.75,25,24.65,24.9,20419,22634.4,21902.45,16654.65
2018/08/15,24.95,25.05,24.75,24.75,41355,20729,21469.2,16526.983
2018/08/14,24.4,25,24.4,24.95,27854,15516.2,20094.15,15986.467
2018/08/13,24.55,24.6,24.35,24.35,13309,12453.4,19184.4,15639.133
2018/08/10,24.7,24.7,24.5,24.55,10235,12186.8,18877.45,15499.75
2018/08/09,24.9,24.9,24.8,24.85,10892,11833.8,18725.55,15458.7
2018/08/08,24.9,24.95,24.85,24.95,15291,13093,18738.8,15402.433
2018/08/07,24.8,24.9,24.7,24.9,12540,13321.2,18266.45,15296.5
2018/08/06,24.7,24.95,24.7,24.9,11976,15174.2,17897.9,15222.55
2018/08/03,24.65,24.8,24.65,24.75,8470,17565.8,17666.75,15149.933
