date,Open,High,Low,Close,All,MA5,MA20,MA60
2018/10/01,34,34.6,33.05,33.7,7998,16609.4,11069.35,4780.567
2018/09/28,35.45,35.9,33.5,33.95,12092,17895,10705.75,4671.033
2018/09/27,35,35.8,34.85,35.4,11241,16935.4,10205.9,4499.183
2018/09/26,35.3,36.45,34.7,36.1,21050,17767.4,9688,4349.283
2018/09/25,33.45,36.75,33,34.6,30666,14963.6,8694.6,4034.333
2018/09/21,33,34.15,33,33.45,14426,11137,7331.05,3571
2018/09/20,32.45,33.25,32.25,32.75,7294,10622.2,7394.2,3397.783
2018/09/19,31.8,33.9,31.8,32.5,15401,14372.8,7172.05,3343.217
2018/09/18,32.35,32.45,31.25,31.3,7031,14609.8,6430.25,3357.5
2018/09/17,31.65,33.25,31.65,32.35,11533,13870.2,6096.9,3306.2
2018/09/14,32.6,32.9,30.75,31.8,11852,13071.6,5542,3239.783
2018/09/13,33.5,33.55,32.05,32.6,26047,12760.6,4978.2,3161.05
2018/09/12,29.4,31.6,29.2,31.6,16586,8033.8,3706.65,3061.6
2018/09/11,28.65,28.85,28.2,28.75,3333,5416.6,2914,3300.4
2018/09/10,28.95,29.6,28.35,29,7540,4817,2811.95,3416.617
2018/09/07,27.7,29.65,27.5,28.4,10297,3459.4,2524.2,3528
2018/09/06,28,28.6,27.5,27.5,2413,1545.2,2044.25,3423.767
2018/09/05,27.3,28.8,26.9,28.3,3500,1481.6,1945.7,3519.483
2018/09/04,27,27.45,27,27.3,335,958.2,1791.1,3479.267
2018/09/03,27.85,27.9,27,27.05,752,1127.6,1796.8,3491.333
2018/08/31,28.15,28.3,27.8,27.85,726,1656.2,1780.55,3500.033
2018/08/30,28.2,28.9,28.15,28.25,2095,4648.8,1769.4,3506.133
2018/08/29,28.15,28.3,27.9,28.1,883,4800,1704.45,3504.25
2018/08/28,28.4,28.55,28.1,28.1,1182,4736.4,1694.9,3517.767
2018/08/27,29,29.25,28.15,28.4,3395,4572.8,1674.8,3589.833
2018/08/24,28.75,29.05,28.25,28.65,15689,3980.8,1708.1,3622.833
2018/08/23,26.5,28.15,26.5,28.15,2851,958.2,963.5,3379.3
2018/08/22,25.5,25.9,25.3,25.6,565,511.2,880.8,3357.933
2018/08/21,25.3,25.5,25.15,25.25,364,544.8,896.1,3392.983
2018/08/20,25.8,25.9,25.25,25.25,435,730.4,999.35,3428.983
2018/08/17,25.9,26.15,25.55,25.6,576,1000.4,1018.8,3444.683
2018/08/16,25.3,25.75,24.85,25.6,616,1024.8,1048.6,3469.783
2018/08/15,26.3,26.5,25.6,25.65,733,990,1047.05,3510.083
2018/08/14,25.6,26.25,25.15,26.2,1292,925,1065.05,3526.433
2018/08/13,26.7,26.8,24.5,25.6,1785,756.4,1120.55,3537.933
2018/08/10,27.45,27.55,26.8,26.85,698,484.8,1230.4,3531.55
2018/08/09,27.8,27.9,27.35,27.4,442,445.8,1236.85,3549.267
2018/08/08,27.8,28,27.7,27.7,408,516.6,1248.15,3576.867
2018/08/07,28,28.05,27.75,27.75,449,573.4,1386.95,3682.317
2018/08/06,27.8,28.1,27.65,28,427,639.6,1456.45,3733.533
2018/08/03,27.8,28.2,27.75,27.8,503,1366.4,1491.8,3906.183
2018/08/02,28.25,28.25,27.7,27.75,796,1425.2,1537.95,4178.383
2018/08/01,28.4,28.5,28,28.05,692,1505.4,1587.2,4347.5
2018/07/31,28.15,28.3,27.9,28.15,780,1541.2,1664.95,4373.433
2018/07/30,28.2,29.4,28.15,28.15,4061,1871,1733.6,4410.7
2018/07/27,28,28.2,27.8,27.9,797,1223.6,1673.85,4402.633
2018/07/26,28,28.3,27.8,27.85,1197,1298.6,1835.65,4536.117
2018/07/25,28.05,28.35,27.75,27.8,871,1176.2,1976.8,4703.1
2018/07/24,27.7,28.6,27.6,28.05,2429,1220.6,2746.15,4853.133
2018/07/23,27.85,28.5,27.55,27.6,824,1215.2,2822.35,4996.483
2018/07/20,28.75,28.75,27.8,27.8,1172,1846.8,3158.55,5206.65
2018/07/19,28.75,28.9,28.5,28.5,585,1777.8,3456.35,5214.8
2018/07/18,29.15,29.4,28.6,28.8,1093,1794.4,4431.1,5233.067
2018/07/17,30,30.25,29,29,2402,2212.6,5922.15,5257.383
2018/07/16,28.6,29.95,28.6,29.45,3982,2100,6317.35,5257.817
2018/07/13,28.65,28.8,28.3,28.35,827,1530.4,6829.4,5233.617
2018/07/12,28.45,28.8,28.4,28.45,668,1650.2,6990.2,5242.35
2018/07/11,28.6,29.5,28.2,28.45,3184,1872.8,7364.6,5258.133
2018/07/10,28.95,29.35,28.45,28.85,1839,1685.4,7259.75,5246.233
2018/07/09,28,28.7,27.7,28.7,1134,1748.2,7220.75,5270.85
2018/07/06,28.3,28.6,27.4,27.9,1426,2094.6,7227.75,5327.467
2018/07/05,29.1,29.35,27.8,27.85,1781,2616,7211.05,5508.7
