date,Open,High,Low,Close,All,MA5,MA20,MA60
2018/10/01,79.9,80.4,79.6,80,20139,28280.6,34822.65,32280.083
2018/09/28,78.9,79.5,78.1,79.2,37937,33463,35977.3,32597.717
2018/09/27,77.5,78.7,77.3,78.7,30644,31173.8,35410.95,32255.7
2018/09/26,76.8,77.9,76.5,77.3,32229,31143.4,34965.35,32034.883
2018/09/25,75.5,76.3,75.2,76.1,20454,31598.8,34504,31896.3
2018/09/21,75.8,76.2,75.1,75.8,46051,30571.8,34473.05,32122.083
2018/09/20,76.2,76.3,75.2,75.6,26491,27684.4,33242.2,32015.617
2018/09/19,76.2,76.5,75.8,76.4,30492,29596.8,32979.1,32040.083
2018/09/18,77.1,77.2,75.8,75.8,34506,32267,32289.3,32079.267
2018/09/17,78,78,77.5,77.8,15319,35076.6,31649.35,32198.167
2018/09/14,76.7,78,76.7,77.9,31614,47603.4,31937.9,32538.317
2018/09/13,77,77,75.8,76,36053,53560.4,31547.05,32565.833
2018/09/12,78,78.3,76.6,77,43843,54175.8,31050.1,32457.133
2018/09/11,75.4,77.7,75.4,77.7,48554,49895.8,31205.3,32502.7
2018/09/10,77.4,77.5,74.8,75.1,77953,43660.2,32474.4,32789.267
2018/09/07,79.1,79.1,77.5,77.7,61399,32834.8,30326.75,32405.95
2018/09/06,80,80.1,79.1,79.3,39130,29201.4,28863.85,32423.6
2018/09/05,80.5,80.5,80.1,80.1,22443,26697.4,28204.8,32181.45
2018/09/04,80.2,80.5,80.1,80.1,17376,26555.2,28714.15,32487.567
2018/09/03,80.7,80.7,80.1,80.1,23826,27680.4,29395.6,32864.383
2018/08/31,80.7,80.8,80.3,80.5,43232,26882.2,29356.8,34128.033
2018/08/30,81.6,81.6,80.9,80.9,26610,22522.6,28347.35,34832.317
2018/08/29,81.2,81.4,81.1,81.4,21732,21446.4,28442.2,35131.6
2018/08/28,81.3,81.5,81,81.2,23002,20439.2,28837.15,35295.383
2018/08/27,81.1,81.3,80.8,81,19835,20180.2,28978.65,35466.267
2018/08/24,81.5,81.6,80.5,81.1,21434,20431.2,29841,35473.517
2018/08/23,82.1,82.1,81,81.8,21229,20903.8,29953.7,36503.733
2018/08/22,81.2,81.8,81.2,81.7,16696,21880.8,30227.5,36798.95
2018/08/21,81.2,81.3,81,81,21707,27931,31285.25,37139.917
2018/08/20,81.1,81.6,81,81,21090,38376.8,33412.75,37858.65
2018/08/17,82,82.1,81.1,81.1,23797,41158.8,34136.15,38349.433
2018/08/16,81,81.8,80.3,81.2,26114,42827.6,34890.5,38333.783
2018/08/15,81,81.5,80.3,81.1,46947,42794.6,35526.4,38231.7
2018/08/14,83.1,83.1,80.8,81.3,73936,39931.2,35509.6,37850.433
2018/08/13,85.9,86,83.5,83.8,35000,31345,32947.15,37016.417
2018/08/10,85.4,86,85.3,85.9,32141,28955,32434.55,36830.8
2018/08/09,85.6,85.6,85,85.2,25949,27135.4,32634.8,36766.1
2018/08/08,85,85.1,84.4,85,32630,27647,32645.35,37249.15
2018/08/07,85.2,85.2,84.4,84.4,31005,27047.2,32848.15,37914.433
2018/08/06,83.6,84.9,83.6,84.6,23050,26012.6,32858.65,39530.567
2018/08/03,83.6,83.8,83,83.8,23043,28819,32660.8,39933.75
2018/08/02,84.5,84.5,82.6,82.8,28507,28948,33468.5,39973.733
2018/08/01,83.9,84.3,83.5,84.1,29631,28587.6,32913.95,40008.8
2018/07/31,83.6,84,83.4,83.8,25832,30231.6,32302.15,39984.95
2018/07/30,83.4,84.3,83.1,84.2,37082,37916.6,32206.25,39977.117
2018/07/27,83.3,83.7,83,83.2,23688,37611.8,32052.2,39775.167
2018/07/26,82.5,83.5,82.2,83.5,26705,40651,32850.95,40203.417
2018/07/25,82.8,83.2,82.4,82.7,37851,43076.4,32913.65,40369.017
2018/07/24,85.1,86,85,85.2,64257,44828.4,32663.25,40235.967
2018/07/23,85.6,85.7,84.9,85.5,35558,36514.4,31532.4,39627.2
2018/07/20,85.5,85.8,84.2,85.3,38884,34352.4,31540.9,39670.05
2018/07/19,84.5,85.2,84.3,85.2,38832,33804.8,31259.95,39859.15
2018/07/18,83.8,84.4,83.4,84.1,46611,31270.4,30794.9,40406.75
2018/07/17,82.9,83.5,82.5,82.9,22687,29285.4,30793.2,40380.75
2018/07/16,83,83.4,82.8,82.8,24748,30991,32946.25,40524.483
2018/07/13,81.7,82.9,81.7,82.9,36146,29860,34456.55,41273.467
2018/07/12,80.8,81.8,80.8,81.2,26160,30470.2,35772.15,41902.1
2018/07/11,80.6,82,80.6,81.6,36686,28721.4,35694.2,42150.3
2018/07/10,81.2,81.3,80.3,80.5,31215,24863.2,35900.4,41964.467
2018/07/09,81.4,81.6,80.7,80.8,19093,23403,36338.9,41879.533
2018/07/06,80.9,81.2,80.2,80.5,39197,26384.6,40366.5,42205.233
2018/07/05,81.7,81.8,81,81.2,17416,26477.8,42681.1,42217.383
2018/07/04,80.8,81.6,80.8,81.6,17395,28586.4,44038.65,42521.917
2018/07/03,81.1,81.7,80.5,80.7,23914,31676,44746.85,43182.233
2018/07/02,83.3,83.3,81,81,34001,35221.2,45213.9,43769.883
2018/06/29,81.1,83.2,81,83.2,39663,35566.6,44527.35,44109.25
2018/06/28,80.9,81.1,80.3,80.5,27959,34287,46706.55,45719.683
2018/06/27,81.1,81.5,80.9,80.9,32843,34601.4,47255.7,45827.617
2018/06/26,80.9,81.6,80.3,81,41640,37348.2,47471.25,45785.983
2018/06/25,82.1,82.2,81.5,81.5,35728,42169.8,48630.8,45475.517
2018/06/22,82,82.4,81.8,82.3,33265,46015,49371.25,45380.417
2018/06/21,83,83.5,82.7,82.7,29531,51853.6,48850.9,45363.267
2018/06/20,82.3,83.4,81.8,83,46577,50867.6,48373.8,45834.517
2018/06/19,83.6,84.2,83,83,65748,49714.2,47248.5,45474.8
2018/06/15,84.8,85.1,84.5,85,54954,44561.6,45155.85,44847.9
2018/06/14,86.8,87.3,85.5,85.5,62458,53499.8,43601.3,44396.167
2018/06/13,88,88.4,87.3,87.8,24601,58106,41891.35,43849.9
2018/06/12,87.3,88.2,87.1,87.7,40810,62099.2,43407.9,44620.717
2018/06/11,88.1,88.4,87.1,87.4,39985,60249,44994.75,44633.533
2018/06/08,91.3,91.9,88,88.3,99645,58903,49394.15,44796.183
2018/06/07,89.9,91.2,89.3,91.2,85489,43028,46773.95,44542.6
2018/06/06,88,89.2,88,89.1,44567,42579.6,43771.6,44594.667
2018/06/05,88,88.5,87.5,88.1,31559,41454.6,43073.8,45293.85
2018/06/04,87.5,88,87.4,87.8,33255,42573.6,42905.85,45324.267
2018/06/01,86.2,87,86.1,86.6,20270,48888.8,42511.2,45504.667
2018/05/31,87.4,88,85.7,85.7,83247,54942.2,42745.95,45714.617
2018/05/30,86.5,88.1,86.5,87.4,38942,42864.4,41052.75,44833.367
2018/05/29,88.9,89,87.5,87.6,37154,39073.8,40937.7,44649.4
2018/05/28,88.2,88.9,87.8,88.8,64831,36457.2,40573.4,44728.8
2018/05/25,84.5,87,84.3,86.5,50537,28270,38718.4,44339.05
2018/05/24,83.5,84.4,83.5,84.1,22858,22935.2,38098,44111.683
2018/05/23,84.5,84.7,83.6,83.6,19989,24015.4,39466.6,44319.35
2018/05/22,85.1,85.4,84,84,24071,31004,42051.55,44743.567
2018/05/21,84.4,85.5,84.4,85,23895,40699.2,43100.55,45347.267
2018/05/18,84.4,85,83.9,83.9,23863,61514.8,43471.35,45990
