date,Open,High,Low,Close,All,MA5,MA20,MA60
2018/10/01,407,407,397,397,85,107.8,104.85,118.133
2018/09/28,389.5,402,388,401,193,106.2,106.4,118.883
2018/09/27,393,393,386,386,84,86,101.65,117.383
2018/09/26,394.5,394.5,389,391,93,92.2,103.45,118.033
2018/09/25,393.5,394,390.5,393,84,92.4,104.85,118.583
2018/09/21,393,395,390.5,391,77,90.2,105.05,119.55
2018/09/20,392,394,389.5,390,92,96.8,105.95,120.2
2018/09/19,392,393.5,387,389.5,115,97.8,105.95,121.067
2018/09/18,391,393,386,390,94,94.8,105.45,121.483
2018/09/17,389.5,391,387,391,73,96.2,106.5,123.017
2018/09/14,384.5,387.5,383.5,387,110,102.8,107.85,124.717
2018/09/13,386.5,387,380,383,97,101,105.25,125.1
2018/09/12,388,389.5,380.5,384,100,109.2,104.45,125.25
2018/09/11,385,389,383,385,101,110.6,103.3,125.217
2018/09/10,393,394,384,385,106,115.6,102.45,125.7
2018/09/07,392,396.5,385,389,101,118.6,103.45,125.533
2018/09/06,391.5,391.5,385,390,138,121.6,104.8,125.8
2018/09/05,393,393,388,391.5,107,113.6,104.6,125.467
2018/09/04,394,396,389,391.5,126,116.2,113.75,126.383
2018/09/03,394,394,387,389,121,115.2,114.35,126.883
2018/08/31,398.5,400,390.5,391,116,108.6,115,128.017
2018/08/30,406,406.5,396,398.5,98,104.4,115.65,129.2
2018/08/29,403,409,399,403.5,120,103.2,116.5,131.167
2018/08/28,407.5,408.5,404.5,406,121,100.2,116.85,133.317
2018/08/27,414.5,416,407.5,407.5,88,99,117.7,134.317
2018/08/24,412.5,416,412.5,414.5,95,101.4,119.7,135.317
2018/08/23,407,414,407,412,92,94,125.75,135.933
2018/08/22,415,416,407.5,411.5,105,91.8,127.3,136.583
2018/08/21,413,415.5,405,411,115,86.2,128.05,136.733
2018/08/20,406.5,410.5,404.5,409.5,100,80,127.8,136.767
2018/08/17,407,407.5,399.5,404,58,85.2,128.15,136.917
2018/08/16,407,407.5,403,404,81,99.2,131,137.883
2018/08/15,410,415,408,408,77,109.8,132.7,138.75
2018/08/14,411.5,414,407.5,410,84,152.4,141.55,139.833
2018/08/13,412,412,409,411,126,163.2,143,141.317
2018/08/10,412,412,406,410,128,164.8,144.8,142.133
2018/08/09,413.5,413.5,405,412.5,134,165,143.95,142
2018/08/08,430,430,412,413,290,161.2,143,141.767
2018/08/07,432,435,432,433.5,138,128.6,134.65,139.033
2018/08/06,433,433,429,430,134,128.6,134.1,138.733
