date,Open,High,Low,Close,All,MA5,MA20,MA60
2018/10/01,3700,3775,3670,3740,560,722.2,990.75,722.15
2018/09/28,3825,3880,3630,3635,888,1098.4,980.4,723
2018/09/27,3720,3895,3680,3780,738,1192,951.25,715.417
2018/09/26,3755,3785,3705,3770,472,1294,932.45,708
2018/09/25,3760,3810,3680,3730,953,1599.4,942.05,709.1
2018/09/21,3595,3870,3425,3870,2441,1513,910.25,701.95
2018/09/20,3900,3945,3770,3800,1356,1211,804.3,667.233
2018/09/19,3865,3910,3810,3865,1248,1189.4,761.75,654.983
2018/09/18,4200,4200,3860,3860,1999,1173.2,727.6,644.617
2018/09/17,4410,4410,4285,4285,521,924.6,660.55,618
2018/09/14,4315,4405,4240,4405,931,1031.2,654.35,614.883
2018/09/13,4210,4265,4055,4110,1248,974.2,629.95,611.717
2018/09/12,4380,4380,4070,4210,1167,935,608.45,599.95
2018/09/11,4370,4490,4330,4340,756,823.8,620.85,593.583
2018/09/10,4680,4725,4305,4360,1054,809.2,629.8,598.917
2018/09/07,4600,4730,4580,4730,646,696.6,636.25,590.1
2018/09/06,4645,4695,4515,4640,1052,638,614.05,589.9
2018/09/05,4900,4945,4870,4890,611,488.6,572.8,588.55
2018/09/04,4845,4890,4770,4890,683,438.8,562,585.933
2018/09/03,4755,4800,4640,4690,491,435,547.85,583.717
2018/08/31,4735,4740,4645,4705,353,400.2,547.4,587.367
2018/08/30,4815,4830,4710,4745,305,394,550.3,591.8
2018/08/29,4780,4840,4735,4760,362,434,566.15,610.717
2018/08/28,4715,4790,4695,4765,664,474.6,590.4,618.6
2018/08/27,4575,4615,4530,4615,317,473.4,579.65,622.9
2018/08/24,4470,4515,4465,4505,322,489.4,584.1,628.75
2018/08/23,4540,4560,4455,4485,505,513.6,581.1,645.383
2018/08/22,4695,4715,4490,4490,565,576.2,570.6,647.767
2018/08/21,4595,4730,4535,4700,658,746.2,560.25,653.183
2018/08/20,4450,4590,4450,4590,397,801.6,550.2,655.817
2018/08/17,4505,4650,4430,4430,443,958.8,556.25,655.117
2018/08/16,4355,4630,4350,4520,818,910.6,601.7,657.883
2018/08/15,4600,4600,4400,4455,1415,792.4,592.75,652.167
2018/08/14,4715,4760,4500,4630,935,588.4,542.65,636.05
2018/08/13,5070,5070,4575,4630,1183,481.4,516.45,628.783
2018/08/10,5110,5110,5060,5080,202,341.2,492.1,622.383
2018/08/09,5025,5100,4995,5100,227,383,536.4,628.4
2018/08/08,5035,5125,5015,5060,395,462,570.05,631.25
2018/08/07,5135,5135,4990,5015,400,552.4,582.4,639.317
2018/08/06,5180,5240,5115,5130,482,562.2,596.35,645.583
2018/08/03,5090,5135,5080,5130,411,547,628.3,650.167
2018/08/02,5080,5140,4995,5005,622,517.2,638.3,652.55
2018/08/01,5240,5330,5040,5050,847,451.8,628.85,659.7
2018/07/31,5150,5175,5090,5150,449,354,601.15,659.483
2018/07/30,5220,5235,5165,5180,406,355.6,605.6,683.483
2018/07/27,5200,5265,5175,5260,262,378,611.5,688.1
2018/07/26,5260,5260,5155,5200,295,596,616.3,708.433
2018/07/25,5175,5225,5150,5225,358,664.8,632.6,728.3
2018/07/24,5195,5240,5085,5200,457,675.8,646,733.467
2018/07/23,5240,5260,5150,5175,518,666.6,643.25,736.033
2018/07/20,5110,5295,5090,5270,1352,702.2,634.05,736.8
2018/07/19,5055,5170,5035,5055,639,649.4,603.5,722.467
2018/07/18,5020,5065,4990,5020,413,701.6,598.65,725.883
2018/07/17,5030,5080,4960,4995,411,747.4,617.25,732.65
2018/07/16,5090,5130,5030,5040,696,801,650.5,739.483
2018/07/13,5075,5075,4920,5040,1088,886,641.95,743.467
2018/07/12,4875,5000,4875,4930,900,790.6,619.25,740.167
2018/07/11,4765,4840,4730,4800,642,697.2,622.8,745.767
2018/07/10,4980,4980,4830,4840,679,627.4,613.4,753.417
2018/07/09,4680,4985,4655,4920,1121,599.2,606.95,779.6
2018/07/06,4610,4635,4545,4605,611,479.8,586.4,770.5
2018/07/05,4510,4580,4470,4540,433,429.2,586.8,771.567
2018/07/04,4525,4570,4435,4450,293,466.8,637.15,786.967
2018/07/03,4600,4640,4485,4530,538,533.4,664.25,802.167
2018/07/02,4500,4610,4480,4560,524,506.2,683.45,821.35
2018/06/29,4440,4490,4405,4490,358,468.2,690.65,822.383
2018/06/28,4320,4465,4310,4360,621,544.8,738.75,818.383
2018/06/27,4550,4615,4360,4360,626,529,740.1,816.283
2018/06/26,4395,4525,4360,4525,402,560.8,753.3,815.267
2018/06/25,4315,4440,4315,4440,334,695.6,774,823.583
2018/06/22,4445,4445,4290,4370,741,733.8,775.05,830.55
2018/06/21,4445,4560,4440,4495,542,712.4,768.45,829.3
2018/06/20,4360,4440,4315,4405,785,798.2,765.1,837.033
2018/06/19,4505,4520,4350,4350,1076,732,748.25,840
2018/06/15,4635,4655,4560,4590,525,626.8,719.4,834.467
2018/06/14,4680,4685,4620,4620,634,663.8,733.1,847.317
2018/06/13,4665,4735,4580,4730,971,660.8,729.55,846.067
2018/06/12,4580,4580,4440,4440,454,754.6,700.9,844.833
2018/06/11,4550,4590,4450,4550,550,830.8,722.15,850.55
2018/06/08,4650,4745,4545,4545,710,905.2,733.45,849.633
2018/06/07,4650,4680,4575,4645,619,896.8,735.8,850.333
2018/06/06,4690,4690,4550,4625,1440,1037,732.55,852.667
2018/06/05,4420,4520,4355,4450,835,878.6,713.1,839.183
2018/06/04,4280,4460,4280,4415,922,889.6,713.05,832.017
2018/06/01,4110,4270,4110,4245,668,868.4,761.4,828.417
2018/05/31,4230,4250,4030,4100,1320,805.8,762.15,835.183
2018/05/30,4205,4260,4180,4200,648,663.6,770.25,825.017
2018/05/29,4165,4270,4120,4255,890,629,812.2,822.083
2018/05/28,4035,4125,4025,4085,816,540.6,801.1,821.533
2018/05/25,4000,4025,3980,3995,355,477.2,790.85,818.483
2018/05/24,3965,4025,3935,4000,609,566,801.3,824.217
2018/05/23,3980,4005,3915,3920,475,556.8,795.45,825.25
2018/05/22,4040,4055,3970,3980,448,541.4,813.9,827.917
2018/05/21,4050,4080,4010,4040,499,627.6,832.45,842.867
2018/05/18,4020,4095,3970,4010,799,683,848.55,844.183
2018/05/17,4080,4105,3920,3920,563,674.6,855.35,843.683
2018/05/16,4040,4120,4020,4050,398,672.8,871.7,849.05
2018/05/15,4240,4240,4090,4090,879,803.4,913.6,868.267
2018/05/14,4130,4205,4090,4205,776,794.4,924.7,881.8
2018/05/11,4025,4080,4000,4075,757,1017,998.4,880.917
2018/05/10,4090,4095,3980,3980,554,1002.2,989.3,878.067
2018/05/09,4065,4165,3990,4000,1051,1187.8,995.35,875.383
2018/05/08,4020,4070,3975,3990,834,1275,1010.65,868.717
2018/05/07,3870,4000,3870,4000,1889,1241.8,1029.2,867.117
2018/05/04,3685,3735,3630,3640,683,986.2,1019.2,847.05
2018/05/03,3800,3830,3680,3685,1482,962.4,1014.35,849.083
2018/05/02,3560,3720,3535,3700,1487,764.4,946.15,843.25
2018/04/30,3300,3500,3270,3480,668,635.8,896.55,837.783
2018/04/27,3340,3370,3240,3265,611,666,891.4,837.367
2018/04/26,3280,3350,3280,3295,564,708,905.9,837.283
2018/04/25,3225,3310,3225,3250,492,782.2,915.3,840.95
2018/04/24,3270,3315,3220,3220,844,861.8,924,844.95
2018/04/23,3420,3450,3255,3255,819,940.2,932.1,841
2018/04/20,3410,3455,3370,3420,821,996.6,939.3,838.45
2018/04/19,3465,3515,3455,3490,935,1282.4,935.45,850.667
2018/04/18,3540,3625,3525,3525,890,1210.4,953.5,861.2
2018/04/17,3525,3645,3475,3580,1236,1167.4,936.95,860.267
2018/04/16,3430,3575,3390,3550,1101,1191.6,920,855.65
2018/04/13,3380,3525,3230,3460,2250,1212.4,904.8,860.167
2018/04/12,3270,3345,3215,3300,575,1100.2,817.05,842.3
2018/04/11,3340,3350,3210,3230,675,1102.4,825.9,846.5
2018/04/10,3005,3250,3000,3250,1357,991,830.1,843.717
2018/04/09,3140,3225,3000,3000,1205,818.6,793.8,835.083
2018/04/03,3065,3195,3005,3185,1689,690.6,753.8,827.333
2018/04/02,3330,3385,3180,3185,586,533,704.65,805.883
2018/03/31,3350,3365,3315,3350,118,566.2,729.05,812.583
