date,Open,High,Low,Close,All,MA5,MA20,MA60
2018/10/01,262,263.5,261,263.5,17603,28959.8,34832.2,30290.117
2018/09/28,266,266,260,262.5,39598,32435,37403.2,30480.2
2018/09/27,264,265.5,262,265,38447,30440,37867.2,30123.6
2018/09/26,263,263.5,261,263.5,24834,34591.4,38789.6,29736.05
2018/09/25,261.5,264,260.5,263.5,24317,36412.2,39385.3,29793.933
2018/09/21,261.5,261.5,258,261.5,34979,36498.4,38927.5,29928.967
2018/09/20,261.5,261.5,257.5,260,29623,37077.8,37895.5,29917.467
2018/09/19,258,260,257,258,59204,38662,37155.35,30055.583
2018/09/18,256.5,257,254,254.5,33938,34393,34825.05,29732.4
2018/09/17,262.5,262.5,257,258,24748,34464.4,33728.05,29806.683
2018/09/14,257,261.5,257,261,37876,37853,33337.55,30143.483
2018/09/13,260,260,253.5,255,37544,38001.2,32359.3,30237.833
2018/09/12,261,262,258,260.5,37859,37624.4,31438.3,30132.483
2018/09/11,263,263.5,258,260,34295,39016,30467.6,30179.65
2018/09/10,266.5,266.5,262.5,264.5,41691,39012,29619.6,30555.483
2018/09/07,263,264,260.5,264,38617,36017.6,28427.7,30661.267
2018/09/06,268,268,261,261,35660,42098.8,27290.3,30573.9
2018/09/05,260,264.5,259,264,44817,44742.4,26262.65,30461.5
2018/09/04,258.5,259.5,255.5,257.5,34275,47158,25239.15,30205.983
2018/09/03,259,260,256.5,257,26719,47652.6,24723.6,29995.85
2018/08/31,257.5,259,254,256,69023,45341,24503.55,29942.567
2018/08/30,264.5,268,262.5,263.5,48878,34404.2,22286.5,29207.85
2018/08/29,253.5,259,253.5,259,56895,27592.6,20960.8,28805.517
2018/08/28,248.5,250,248,249.5,36748,18733.2,19571,28299.15
2018/08/27,246,246.5,244.5,245,15161,13783.2,19084.75,28118.9
2018/08/24,245.5,246,243,243.5,14339,14138.6,19465.25,28326.283
2018/08/23,243,244.5,243,244.5,14820,14933,20101.8,29688.017
2018/08/22,241.5,242.5,240.5,242,12598,15793.8,20889.9,30259.783
2018/08/21,239,241,238.5,241,11998,16963.2,21306.8,30445.45
2018/08/20,239.5,240,238,239.5,16938,18030.6,22066.95,30518.05
2018/08/17,239.5,241,239,239.5,18311,18213.6,23829.85,30501.667
2018/08/16,238,241.5,238,239,19124,17725.2,27808.9,30412.833
2018/08/15,244.5,244.5,239.5,241.5,18445,16921.8,28834.5,30478.133
2018/08/14,245,245,242.5,243.5,17335,18102.2,29906.45,30543.017
2018/08/13,241.5,243,239,240.5,17853,19428,30116.35,30522.467
2018/08/10,246.5,247,244.5,245,15869,20321,30014.15,30685.317
2018/08/09,247,248,246,247,15107,22083.6,30705.45,30867.867
2018/08/08,245,247.5,244.5,247.5,24347,23535,31132.7,30855.967
2018/08/07,245,245.5,241.5,241.5,23964,24485.4,30907.35,30845.933
2018/08/06,245,247,244,245.5,22318,25097.2,30714.05,30778.133
2018/08/03,246,248,245,247,24682,25187.8,31534.6,30917.233
2018/08/02,249,249.5,243.5,244.5,22364,25665.4,31750.9,30964.333
2018/08/01,247,248,246.5,248,29099,27309,31542.8,31154.183
2018/07/31,243.5,246,242,246,27023,25676.4,30847.55,31340.833
