date,Open,High,Low,Close,All,MA5,MA20,MA60
2018/10/01,86.9,87.4,86.9,87.3,4738,12246,9028.75,6908.483
2018/09/28,87.35,87.65,86.6,86.9,13190,12769.4,9003.4,6918.617
2018/09/27,86.6,87.45,86.6,87.35,27786,10962,8837.65,6750.567
2018/09/26,86.9,87,86.75,86.9,8026,6777.8,8116.3,6316.467
2018/09/25,86.65,87.15,86.6,87.1,7490,6396.4,8128.5,6266.283
2018/09/21,86.25,86.85,85.9,86.85,7355,6693.4,8004.5,6210.75
2018/09/20,86.45,86.55,85.8,85.9,4153,6943.2,7763.75,6197.617
2018/09/19,85.8,86.3,85.75,86.15,6865,10308.6,7749.3,6329.267
2018/09/18,85.6,85.7,85.2,85.4,6119,12650,7583,6353.05
2018/09/17,86.5,86.5,85.7,85.85,8975,15329.2,7527.7,6524.667
2018/09/14,85.75,86.5,85.6,86.5,8604,14594.2,7236.05,6508.017
2018/09/13,85.8,85.8,84.9,84.95,20980,13372.6,7037.4,6472.333
2018/09/12,85.85,85.9,85.25,85.55,18572,9563.6,6214.35,6158.083
2018/09/11,85.95,86,85.4,85.65,19515,6345.6,5499.1,5979.5
2018/09/10,86.6,86.6,85.65,86,5300,2910.2,4634.85,5737.033
2018/09/07,86.2,86.45,86,86.4,2496,2581.4,4733.5,5712.95
2018/09/06,86.9,86.9,86.2,86.5,1935,2928.4,4672.3,5730.167
2018/09/05,87,87.3,86.7,87,2482,4516.4,4656.65,5775.483
2018/09/04,86.8,87,86.45,87,2338,6691.8,4735.65,5771.333
2018/09/03,86.95,87.2,86.4,86.45,3656,7878.2,4677.95,5786.6
2018/08/31,87,87,86.45,86.95,4231,8149,4615.55,5783.267
2018/08/30,87.8,88.35,87.45,87.55,9875,7810.8,4464.6,5824.283
2018/08/29,86.45,87.35,86.45,87.25,13359,6608.6,4208.85,5766.083
2018/08/28,85.95,86.4,85.95,86.25,8270,4644.6,3740.65,5588.117
2018/08/27,85,85.55,85,85.55,5010,3993.2,3463.4,5568.05
2018/08/24,85,85.1,84.45,84.8,2540,3619.6,3373.5,5515.217
2018/08/23,84.8,85.2,84.6,85.05,3864,4037.8,3543.35,5499.517
2018/08/22,84.7,84.85,84.35,84.65,3539,4168.8,3773.1,5537.85
2018/08/21,83.9,84.65,83.9,84.55,5013,4314.4,3913.15,5501.867
2018/08/20,83.9,84.1,83.7,83.95,3142,3757.8,3917.45,5467.167
2018/08/17,83.95,84.15,83.6,83.65,4631,4584,4184.9,5466.6
2018/08/16,83.25,84.1,83.05,83.8,4519,3912.2,4872.7,5408.233
2018/08/15,84.5,84.5,83.45,83.75,4267,3332.8,5307.1,5368.15
2018/08/14,84.4,84.6,84.05,84.55,2230,3291.8,5752.05,5327.5
2018/08/13,85.05,85.05,83.65,83.95,7273,3082.6,5789.6,5354.95
2018/08/10,85.7,86.15,85.65,85.7,1272,2109.6,5691.7,5272.9
2018/08/09,86.1,86.25,85.7,86.15,1622,2097.6,6310.45,5283.833
2018/08/08,85.8,86.4,85.8,86.15,4062,2725.2,6572.9,5394.85
2018/08/07,85.7,85.8,85.4,85.5,1184,2711.8,6564.3,5447.217
2018/08/06,85.55,86.1,85.35,85.7,2408,3020,6750.2,5713.817
2018/08/03,85.4,85.7,85.35,85.55,1212,3180.8,7081.15,5967.55
2018/08/02,86.1,86.15,84.85,84.85,4760,4125.8,7287.85,6046.733
2018/08/01,85.8,86.2,85.8,86.15,3995,4865.6,7205.2,6023.083
2018/07/31,85.35,85.7,85.05,85.55,2725,5334.6,7092.45,6045.433
2018/07/30,85.65,85.9,85.4,85.55,3212,5809.4,7206.95,6064.033
2018/07/27,85.1,85.75,85.1,85.7,5937,6865.2,7254.25,6068.033
2018/07/26,84.75,85.25,84.75,85,8459,9355.2,7285.75,6115.567
2018/07/25,84.05,84.85,84.05,84.75,6340,10304.8,7465.4,6066
2018/07/24,84.45,84.7,84.15,84.7,5099,11670,7563,6068.7
2018/07/23,84.3,84.75,83.85,84.55,8491,11246.4,8128.85,6189.9
2018/07/20,84,84.7,84,84.65,18387,10611.2,8103.1,6322.817
2018/07/19,83.1,83.8,83.05,83.3,13207,9663.2,7506.9,6290.45
2018/07/18,83.15,83.5,82.95,83.05,13166,8396,6952.8,6351.033
2018/07/17,82.85,82.85,82.4,82.55,2981,6540.8,6687.35,6308.283
2018/07/16,83.3,83.45,83,83,5315,6925,6786.65,6408.5
2018/07/13,83,83.4,82.8,83.35,13647,7667.4,6713.65,6394.15
2018/07/12,81.6,82.65,81.55,82.65,6871,6007.2,6207.75,6228.817
2018/07/11,81.7,81.9,81.3,81.7,3890,5254.4,6096.9,6186.067
2018/07/10,82.65,82.8,82.35,82.45,4902,4824.4,6014.05,6151.25
2018/07/09,81.75,82.45,81.55,82.25,9027,4847,5931.65,6119.117
2018/07/06,81.1,81.15,80.2,80.95,5346,3873.2,5653.1,6028.317
2018/07/05,81.45,81.45,80.6,80.75,3107,4117.4,5720.4,5982.433
2018/07/04,81.15,81.6,81.1,81.4,1740,5906.4,5884.2,5994.8
2018/07/03,81.3,81.95,80.6,81.15,5015,7216.8,5931.25,6022.317
2018/07/02,81.5,81.9,81,81.05,4158,9497,6033.8,6041.55
2018/06/29,80.3,81.55,80.2,81.45,6567,10260.6,5917.9,6034.333
2018/06/28,80.05,80.4,79.8,80.05,12052,10239.8,5669.45,5939.367
2018/06/27,80.75,80.9,80.3,80.4,8292,8254.4,5375.05,5821.483
2018/06/26,80.7,80.7,80,80.7,16416,8167.4,5029.45,5751.483
2018/06/25,80.85,81.05,80.7,80.9,7976,5877.6,4355.2,5546.967
2018/06/22,80.8,81.2,80.35,81.15,6463,5053.4,4111.8,5468.583
